customer_id,age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
CUST176737,49,Female,Married,Graduate,28522.44,Private,4.1,Large Corporate,Own,0.0,3,2,7926.14,0.0,2226.0,7347.78,1164.16,No,0.0,631,168256.31,71524.27,E-commerce Shopping EMI,41429.43,8,High_Risk,5810.48
CUST465468,31,Male,Single,High School,63462.84,Government,9.0,Government,Own,0.0,4,1,3530.41,0.0,4883.3,9163.45,1503.45,No,0.0,651,655531.55,209358.65,Education EMI,156361.55,20,Eligible,32470.3
CUST225667,42,Male,Single,Post Graduate,52123.76,Self-employed,7.4,Not Applicable,Own,0.0,5,3,14299.02,19036.16,3440.64,12749.85,1491.47,Yes,13655.91,551,127483.39,24887.08,Vehicle EMI,441543.47,31,Not_Eligible,500.0
CUST418166,44,Female,Married,Post Graduate,96722.12,Private,3.5,Government,Own,0.0,3,2,5020.88,14950.81,8521.38,11301.49,4076.36,No,0.0,593,359245.43,203147.67,Education EMI,290963.65,32,High_Risk,27740.59
CUST184270,37,Male,Single,Graduate,53312.64,Private,1.9,MNC,Own,0.0,4,2,7662.61,0.0,5889.85,12364.74,2901.06,No,0.0,551,282090.88,162521.17,Vehicle EMI,744144.68,56,High_Risk,15049.54
CUST114980,32,Male,Single,High School,70740.98,Private,7.0,MNC,Rented,17943.38,3,1,4457.63,0.0,3621.88,10467.31,3444.98,Yes,17399.7,594,263238.98,130218.52,E-commerce Shopping EMI,44617.62,12,High_Risk,8518.68
CUST349310,54,Male,Single,High School,27150.8,Self-employed,10.6,Not Applicable,Own,0.0,6,3,0.0,0.0,1880.59,19347.38,1351.96,Yes,4331.57,475,204461.06,34601.02,Vehicle EMI,228282.14,43,Not_Eligible,500.0
CUST196526,28,Male,Single,Professional,52723.21,Self-employed,3.3,Not Applicable,Rented,17744.01,7,5,13751.0,0.0,4601.73,16219.75,4760.07,No,0.0,539,65151.59,22546.55,Vehicle EMI,351352.58,35,Not_Eligible,500.0
CUST341293,51,Female,Single,Professional,73810.78,Self-employed,2.3,Not Applicable,Family,0.0,5,2,0.0,9539.6,4963.98,13190.35,4291.27,Yes,8079.79,552,182071.97,52373.04,Education EMI,240558.79,19,High_Risk,18403.07
CUST297535,34,Female,Single,Post Graduate,35288.01,Private,7.5,MNC,Own,0.0,4,2,4928.76,0.0,3303.02,13951.13,1236.69,Yes,9217.87,410,163629.53,30967.52,Education EMI,91809.0,27,Not_Eligible,1329.87
CUST383548,47,Male,Married,Post Graduate,90721.73,Government,4.8,Government,Own,0.0,3,2,8145.19,0.0,8379.62,11186.15,2961.48,Yes,23454.36,575,609901.89,132280.23,Education EMI,243211.35,25,High_Risk,19742.86
CUST369820,41,Male,Single,High School,103135.64,Private,4.0,MNC,Rented,22300.62,8,5,6535.88,0.0,6071.35,20212.33,6598.36,No,0.0,581,572962.54,87575.66,Home Appliances EMI,143478.21,24,High_Risk,22489.17
CUST474770,32,Male,Married,Graduate,92068.63,Private,8.3,Large Corporate,Rented,15881.0,5,4,14216.87,0.0,10835.06,15528.4,7096.82,No,0.0,538,560921.83,185323.9,Home Appliances EMI,110635.29,13,High_Risk,15137.96
CUST339338,38,Female,Single,Post Graduate,43763.58,Private,8.6,Large Corporate,Own,0.0,7,4,8815.63,0.0,3055.18,17516.15,1011.03,Yes,3799.08,499,612397.65,292264.7,Personal Loan EMI,216930.26,34,Not_Eligible,5307.02
CUST169474,30,Female,Single,Graduate,103752.4,Government,4.4,Government,Family,0.0,3,1,4232.0,0.0,7105.22,9615.19,6224.97,No,0.0,654,691444.45,114418.54,Vehicle EMI,877451.99,61,Not_Eligible,50000.0
CUST366175,40,Male,Single,Professional,39890.26,Private,1.7,Startup,Own,0.0,3,1,3448.79,0.0,3835.55,8836.1,2665.27,No,0.0,513,134874.66,80896.62,Vehicle EMI,502418.2,41,High_Risk,13543.06
CUST109550,34,Male,Single,Post Graduate,124029.15,Government,1.7,Government,Family,0.0,5,3,17325.78,0.0,10007.05,13051.92,4998.29,No,0.0,643,234471.67,123515.64,Personal Loan EMI,417520.31,42,Eligible,47782.54
CUST315440,41,Female,Single,Graduate,47767.47,Self-employed,4.9,Not Applicable,Family,0.0,4,1,1880.77,0.0,5329.12,10386.45,2729.94,Yes,10335.8,458,157309.65,78461.06,Personal Loan EMI,230894.97,34,Not_Eligible,8483.78
CUST185454,25,Male,Single,Graduate,67115.84,Private,2.7,Startup,Own,0.0,2,0,0.0,0.0,7676.42,7310.47,3179.04,No,0.0,511,305510.05,94447.84,Vehicle EMI,383882.84,30,High_Risk,27652.84
CUST120846,41,Male,Married,High School,25005.82,Private,19.0,MNC,Family,0.0,4,2,3768.54,0.0,1177.91,13078.95,654.62,Yes,6378.54,562,124040.43,30257.03,Vehicle EMI,284743.08,42,Not_Eligible,500.0
CUST414708,46,Male,Married,Graduate,69387.79,Government,6.1,Government,Own,0.0,4,2,9598.78,16552.56,4417.39,12666.95,4618.59,Yes,15723.32,470,390033.75,148330.29,Vehicle EMI,561815.15,26,Not_Eligible,2908.39
CUST328134,54,Male,Single,Post Graduate,51299.47,Private,14.7,Startup,Own,0.0,5,2,0.0,0.0,2027.24,13012.89,3426.9,No,0.0,580,1103079.33,355113.15,Personal Loan EMI,300321.39,39,Not_Eligible,17810.37
CUST330675,29,Male,Single,Post Graduate,58583.96,Self-employed,7.0,Not Applicable,Rented,11291.94,4,2,7172.94,0.0,5755.54,9067.95,2306.14,No,0.0,614,590674.08,270374.59,E-commerce Shopping EMI,67141.73,13,Eligible,12574.12
CUST348239,34,Female,Single,Post Graduate,66512.19,Private,2.5,MNC,Rented,17440.86,8,5,12176.73,0.0,2331.22,29235.37,3786.01,No,0.0,662,101664.17,30747.27,Vehicle EMI,343325.36,19,Not_Eligible,902.41
CUST394572,36,Male,Married,Graduate,32549.55,Private,0.9,Large Corporate,Own,0.0,6,4,15663.5,0.0,1119.31,17973.93,3184.22,No,0.0,552,71078.84,15197.02,Education EMI,144227.68,12,Not_Eligible,500.0
CUST463629,26,Male,Single,High School,46787.23,Government,3.8,Government,Family,0.0,6,4,17450.54,0.0,3731.34,21196.13,2829.16,Yes,5564.6,530,,46305.14,Home Appliances EMI,116217.21,12,Not_Eligible,500.0
CUST455441,39,Male,Single,Graduate,88438.34,Private,14.5,Large Corporate,Family,0.0,2,0,0.0,0.0,8732.67,7262.91,6736.94,Yes,14490.19,585,667635.63,324592.63,E-commerce Shopping EMI,98734.21,9,High_Risk,31072.95
CUST416401,43,Female,Single,Post Graduate,52018.51,Government,4.5,Government,Own,0.0,2,0,0.0,0.0,6024.87,5499.13,1255.93,No,0.0,649,407036.73,75935.82,Education EMI,163497.86,31,Eligible,28029.38
CUST369827,26,Female,Single,Professional,65751.48,Private,0.3,Government,Family,0.0,7,5,16958.63,0.0,6724.89,14600.84,4857.77,No,0.0,492,177867.06,100946.37,Education EMI,170382.58,21,Not_Eligible,10097.41
CUST392129,37,Female,Married,Professional,158478.09,Private,12.8,MNC,Own,0.0,4,3,7973.37,0.0,15000.0,17051.83,5699.4,Yes,17765.43,699,2000000.0,718517.33,Home Appliances EMI,201279.6,26,Eligible,50000.0
CUST438629,31,Male,Single,Professional,107444.3,Private,5.1,Government,Family,0.0,2,0,0.0,0.0,9172.7,7284.24,5424.86,No,0.0,659,404122.21,191797.14,Home Appliances EMI,104120.1,13,Eligible,50000.0
CUST408637,40,Male,Married,Professional,67307.01,Self-employed,18.0,Not Applicable,Own,0.0,4,2,11146.79,0.0,4727.67,9225.72,5400.28,No,0.0,716,467793.76,204239.35,Education EMI,140122.59,16,Eligible,22888.62
CUST194643,31,Female,Married,Post Graduate,42531.91,Private,4.5,Government,Family,0.0,6,5,11369.6,0.0,4224.36,17077.64,3167.45,No,0.0,561,182931.82,81244.52,Vehicle EMI,363082.86,43,Not_Eligible,3556.39
CUST484020,33,Female,Married,Post Graduate,51568.46,Self-employed,3.9,Not Applicable,Own,0.0,5,3,17509.12,0.0,1629.7,14299.23,1379.18,No,0.0,609,372167.86,153587.67,Home Appliances EMI,102526.62,14,High_Risk,8215.34
CUST385484,48,Female,Married,Post Graduate,30341.61,Private,5.2,MNC,Own,0.0,4,2,6152.34,0.0,1921.53,12220.15,1347.97,Yes,6834.95,477,230129.89,125786.08,Education EMI,130954.81,23,Not_Eligible,1072.77
CUST431831,30,Male,Single,Graduate,26974.45,Private,5.0,Large Corporate,Own,0.0,7,4,7151.43,0.0,2619.21,20270.88,1025.26,Yes,8014.31,440,158057.22,23495.59,Home Appliances EMI,71022.28,12,Not_Eligible,500.0
CUST175788,41,Male,Single,High School,19282.83,Self-employed,7.2,Not Applicable,Rented,4273.64,8,6,6988.4,0.0,731.72,25798.7,1764.03,Yes,2310.47,563,59125.36,29830.11,Vehicle EMI,170510.06,35,Not_Eligible,500.0
CUST170242,25,Female,Single,Post Graduate,59255.77,Private,2.5,Government,Rented,13388.09,2,0,0.0,0.0,5038.21,7529.66,5516.88,No,0.0,532,53576.9,20057.34,Home Appliances EMI,77136.82,17,High_Risk,17965.02
CUST481193,31,Female,Married,Post Graduate,66035.91,Private,9.0,Startup,Rented,14377.99,6,4,15249.85,0.0,4416.3,13480.72,2177.55,Yes,4990.41,529,270590.74,89970.32,Personal Loan EMI,307119.02,23,Not_Eligible,6695.25
CUST206730,36,Male,Single,Post Graduate,77832.17,Private,3.8,SME,Family,0.0,2,0,0.0,0.0,3422.12,6372.82,6339.16,Yes,17693.5,549,354677.05,39560.09,Education EMI,184681.6,33,High_Risk,25858.04
CUST467665,45,Female,Married,Post Graduate,36653.45,Self-employed,3.9,Not Applicable,Family,0.0,5,4,8589.33,0.0,1257.32,18093.13,1418.29,Yes,7564.43,612,238180.85,111150.74,Education EMI,118720.27,11,Not_Eligible,500.0
CUST489906,36,Female,Single,Graduate,43856.89,Private,4.6,Large Corporate,Own,0.0,5,2,7528.7,0.0,4801.23,15574.41,3697.08,Yes,3108.29,394,145999.17,16766.54,E-commerce Shopping EMI,56631.09,6,Not_Eligible,4167.8
CUST256634,42,Female,Single,Graduate,35353.77,Private,13.6,MNC,Own,0.0,3,1,3168.39,0.0,4239.36,6954.38,2591.63,Yes,4539.23,564,396572.83,50520.85,Home Appliances EMI,42373.81,8,High_Risk,8046.64
CUST218625,25,Female,Married,Post Graduate,31572.87,Self-employed,3.0,Not Applicable,Rented,8204.66,6,5,10231.46,0.0,3184.64,11451.3,713.89,No,0.0,555,81115.44,47772.76,Vehicle EMI,249702.68,36,Not_Eligible,500.0
CUST203662,47,Female,Single,Post Graduate,34898.68,Private,10.3,Startup,Family,0.0,4,1,5715.13,0.0,3497.92,9025.59,1022.04,Yes,9163.52,481,83663.89,23998.42,Education EMI,135521.42,26,Not_Eligible,3572.81
CUST189576,49,Male,Married,High School,81808.01,Private,6.8,SME,Own,0.0,4,2,5202.51,19159.64,7435.43,12791.02,3144.98,No,0.0,577,629401.31,299123.58,Vehicle EMI,533817.5,47,High_Risk,20635.0
CUST280795,58,Male,Married,Graduate,40854.7,Private,11.1,MNC,Own,0.0,2,0,0.0,0.0,1284.59,6921.41,3794.94,Yes,7267.85,529,398337.82,178128.99,Vehicle EMI,651229.89,51,High_Risk,12972.09
CUST294592,49,Male,Married,Professional,100961.34,Government,7.1,Government,Own,0.0,5,4,12140.23,0.0,8059.53,14707.42,2722.03,Yes,27707.59,554,497163.0,65990.83,Home Appliances EMI,132564.29,23,High_Risk,23194.87
CUST138619,37,Male,Single,Professional,26580.6,Self-employed,6.3,Not Applicable,Rented,7288.72,3,1,2603.86,0.0,2764.68,9981.43,956.29,No,0.0,588,154549.7,55386.58,Personal Loan EMI,236275.3,24,Not_Eligible,1549.1
CUST284671,34,Female,Single,Graduate,42926.55,Private,12.0,Government,Rented,11805.81,3,1,4359.41,0.0,3106.11,7549.81,950.92,No,0.0,514,328343.21,126082.57,E-commerce Shopping EMI,53733.28,14,High_Risk,9120.12
CUST211210,25,Female,Single,Post Graduate,50297.79,Self-employed,3.0,Not Applicable,Rented,10642.62,5,2,7256.83,0.0,2327.9,17705.93,4531.17,No,0.0,601,109960.14,13138.22,Education EMI,186944.42,28,Not_Eligible,3941.25
CUST398322,28,Male,Single,Post Graduate,50579.7,Government,4.6,Government,Family,0.0,3,0,0.0,0.0,2217.68,10840.8,4174.29,Yes,4797.46,564,339164.87,39092.75,Personal Loan EMI,364094.95,29,Not_Eligible,17768.17
CUST170733,31,Female,Single,Post Graduate,71497.13,Private,6.5,Startup,Own,0.0,1,0,0.0,0.0,7182.82,4898.62,1630.37,No,0.0,564,535581.06,221656.34,Education EMI,175024.97,19,High_Risk,38170.71
CUST383406,42,Female,Single,Graduate,63283.1,Private,7.6,Government,Rented,21464.27,6,3,10178.97,0.0,2990.46,15726.42,6188.3,Yes,6262.98,592,335771.52,43170.51,Education EMI,231510.9,21,Not_Eligible,500.0
CUST305423,39,Female,Married,Graduate,38814.25,Private,3.3,MNC,Family,0.0,9,6,17105.81,0.0,3931.16,31760.75,3736.41,No,0.0,543,163645.07,54013.28,Vehicle EMI,556113.72,36,Not_Eligible,500.0
CUST230670,38,Female,Single,Post Graduate,109770.13,Self-employed,3.9,Not Applicable,Family,0.0,5,3,15149.49,0.0,7833.13,14729.63,4248.34,Yes,6715.2,549,829117.99,348791.49,Vehicle EMI,695782.11,35,High_Risk,33483.56
CUST260183,36,Female,Married,High School,24483.3,Private,4.2,Large Corporate,Own,0.0,4,3,17005.68,0.0,2173.81,13676.49,734.11,No,0.0,431,210470.93,53786.79,Vehicle EMI,271693.33,37,Not_Eligible,500.0
CUST342921,39,Female,Married,High School,23327.99,Self-employed,1.1,Not Applicable,Own,0.0,4,3,16175.99,0.0,2054.49,8624.65,1889.9,Yes,1467.49,534,73497.72,23064.35,Education EMI,183814.87,32,Not_Eligible,500.0
CUST169588,36,Male,Single,Graduate,58584.26,Government,4.7,Government,Rented,17170.16,4,2,9467.74,0.0,2449.24,15129.6,4690.88,No,0.0,650,392317.98,222756.19,E-commerce Shopping EMI,55717.05,7,High_Risk,7127.43
CUST224917,43,Male,Single,Professional,60767.01,Private,3.9,Startup,Rented,18159.86,5,2,7358.97,21450.46,5692.85,12018.57,1788.51,Yes,12149.84,473,165934.56,69624.41,E-commerce Shopping EMI,47583.51,7,Not_Eligible,500.0
CUST466803,43,Male,Married,High School,42501.4,Private,4.8,Large Corporate,Family,0.0,4,2,3004.31,0.0,1627.84,14438.32,1830.81,No,0.0,489,235981.37,42489.61,Home Appliances EMI,64219.1,14,Not_Eligible,10906.43
CUST300272,37,Male,Single,Post Graduate,40101.99,Self-employed,3.8,Not Applicable,Family,0.0,6,3,11945.03,0.0,3751.58,14720.87,3686.81,No,0.0,552,339527.7,42452.93,Personal Loan EMI,437803.85,35,Not_Eligible,3103.59
CUST382154,50,Male,Married,Post Graduate,39837.11,Government,5.9,Government,Family,0.0,2,0,0.0,0.0,2328.99,5619.3,1301.9,Yes,2874.05,604,307096.49,131703.24,Education EMI,96494.6,12,Eligible,18277.52
CUST477312,47,Female,Married,Post Graduate,85407.95,Private,3.0,MNC,Own,0.0,1,0,0.0,0.0,9632.46,5124.23,2523.27,No,0.0,655,533735.77,233146.38,Vehicle EMI,667769.93,52,Eligible,42919.09
CUST414535,39,Male,Single,Professional,96241.96,Private,2.5,Government,Rented,19596.79,4,2,5318.07,0.0,4880.12,9886.29,5432.52,Yes,11028.28,558,258725.46,98326.98,Home Appliances EMI,118145.4,15,High_Risk,23071.71
CUST220157,34,Male,Single,Graduate,34597.07,Private,2.4,Startup,Family,0.0,8,5,14643.55,0.0,4021.92,24127.83,1501.15,Yes,7053.64,455,146860.51,17899.39,Home Appliances EMI,53472.04,13,Not_Eligible,500.0
CUST465122,47,Male,Single,Graduate,40429.26,Private,3.2,Startup,Own,0.0,2,0,0.0,0.0,3642.07,6440.14,1645.7,Yes,2894.02,406,281651.67,47282.19,Education EMI,172022.61,23,Not_Eligible,13944.54
CUST309604,47,Male,Married,Graduate,35440.67,Private,12.6,MNC,Family,0.0,2,1,5145.34,0.0,2714.03,4362.31,2291.26,No,0.0,654,431907.33,52470.43,Education EMI,139462.78,15,Eligible,13201.67
CUST399423,54,Female,Married,Post Graduate,61563.31,Private,1.7,Government,Own,0.0,4,3,0.0,15095.74,2377.79,12861.43,5130.34,Yes,14756.03,523,98252.38,50492.28,Vehicle EMI,614332.94,26,Not_Eligible,5809.45
CUST239614,40,Female,Married,Graduate,57564.13,Government,2.4,Government,Own,0.0,6,5,8024.49,0.0,5349.72,12407.23,1441.24,No,0.0,574,150288.61,70917.65,Home Appliances EMI,75765.97,15,High_Risk,14627.3
CUST143372,34,Female,Single,High School,64167.36,Private,4.0,Government,Rented,21508.19,5,3,15077.07,0.0,5372.98,10582.91,4072.41,No,0.0,532,210601.93,87058.41,E-commerce Shopping EMI,69563.07,15,High_Risk,4388.88
CUST128909,51,Female,Single,Graduate,30204.46,Private,6.8,Government,Own,0.0,3,0,0.0,0.0,1679.84,8323.95,1031.51,Yes,4374.11,465,226368.31,111100.55,Home Appliances EMI,95341.49,17,Not_Eligible,8674.35
CUST476031,25,Female,Single,Post Graduate,75977.37,Government,3.0,Government,Own,0.0,5,2,7225.21,0.0,2321.95,13720.37,2200.38,Yes,20667.14,639,224000.67,132587.53,Home Appliances EMI,128173.53,14,Eligible,21435.89
CUST363999,26,Female,Single,Graduate,29451.63,Government,1.8,Government,Rented,8154.4,4,2,6713.79,0.0,1849.77,14480.55,1628.44,Yes,8803.27,593,9468.26,4651.33,Personal Loan EMI,366110.95,38,Not_Eligible,500.0
CUST217805,50,Female,Married,Post Graduate,85108.27,Self-employed,7.3,Not Applicable,Own,0.0,5,4,0.0,11509.11,4796.3,18144.66,4830.18,Yes,20726.4,647,176981.71,96359.34,Personal Loan EMI,395784.43,40,High_Risk,11252.14
CUST238842,39,Female,Single,Professional,76991.22,Private,10.9,,Own,0.0,4,1,1500.94,0.0,8841.11,12014.37,4951.46,No,0.0,559,803262.89,115921.92,E-commerce Shopping EMI,87678.71,10,High_Risk,29311.81
CUST141101,44,Male,Single,High School,21447.78,Private,7.8,SME,Rented,5443.55,1,0,0.0,0.0,1999.68,3064.79,626.64,No,0.0,570,73009.33,8344.55,Vehicle EMI,273096.77,23,Not_Eligible,6666.74
CUST171429,51,Male,Married,Post Graduate,49947.49,Private,17.7,Large Corporate,Family,0.0,7,6,0.0,0.0,3496.21,20197.96,3534.43,Yes,10096.4,521,978197.08,346787.78,Home Appliances EMI,110709.9,14,High_Risk,6707.62
CUST415781,32,Female,Single,Graduate,39177.76,Private,7.9,Government,Rented,9886.43,1,0,0.0,0.0,2576.36,3037.64,855.86,No,0.0,584,87457.11,36632.09,E-commerce Shopping EMI,45178.09,13,High_Risk,13939.78
CUST281888,35,Male,Single,Graduate,37391.15,Private,4.9,Government,Own,0.0,5,3,10000.4,0.0,4301.08,12343.54,3124.65,Yes,10490.12,542,123308.3,60649.18,Education EMI,212609.07,19,Not_Eligible,500.0
CUST360269,25,Male,Single,Graduate,24146.63,Private,3.0,Large Corporate,Rented,8213.05,1,0,0.0,0.0,1221.88,2465.73,2247.03,No,0.0,645,18156.76,4221.91,Education EMI,97281.13,24,Eligible,5954.8
CUST124634,34,Female,Single,Graduate,33522.1,Self-employed,10.4,Not Applicable,Family,0.0,6,4,17692.98,0.0,3653.01,19239.71,1248.59,Yes,3618.38,562,414116.8,187627.93,Personal Loan EMI,381005.71,41,Not_Eligible,500.0
CUST294244,30,Male,Single,Professional,82944.72,Private,5.6,MNC,Family,0.0,5,2,7355.6,0.0,7699.41,17259.79,4605.42,No,0.0,616,248811.82,85982.04,E-commerce Shopping EMI,100464.92,14,Eligible,29421.36
CUST207427,32,Female,Single,High School,33708.79,Government,8.8,Government,Rented,9060.81,5,3,12521.4,0.0,2879.98,12144.28,2671.66,No,0.0,505,87646.11,36819.42,Vehicle EMI,242887.3,35,Not_Eligible,500.0
CUST346249,49,Female,Married,Graduate,35205.55,Private,4.7,SME,Family,0.0,4,3,10795.68,23601.78,2441.06,12346.92,849.35,No,0.0,583,234421.15,110762.93,E-commerce Shopping EMI,52878.2,15,Not_Eligible,500.0
CUST258509,34,Male,Single,High School,29027.74,Self-employed,2.2,Not Applicable,Rented,8250.51,3,1,3508.91,0.0,3078.56,10454.23,1539.92,No,0.0,437,56109.76,,Education EMI,160105.18,17,Not_Eligible,1050.05
CUST141967,41,Male,Married,Post Graduate,63074.49,Private,5.7,Startup,Own,0.0,4,3,9404.96,14488.45,6356.16,10981.3,3559.67,No,0.0,560,148949.41,17748.27,E-commerce Shopping EMI,51643.0,8,High_Risk,9599.67
CUST449452,36,Female,Single,High School,47003.32,Self-employed,7.5,Not Applicable,Own,0.0,5,3,8963.17,0.0,2021.55,12768.22,3312.87,Yes,12672.92,551,465325.22,97716.55,Education EMI,256728.23,36,Not_Eligible,3646.31
CUST232627,25,Male,Single,Post Graduate,42241.56,Private,1.2,Government,Own,0.0,2,0,0.0,0.0,3120.27,6941.6,1769.95,No,0.0,484,132298.02,42129.94,Home Appliances EMI,63096.59,12,Not_Eligible,17481.44
CUST450990,46,Male,Single,Graduate,36622.49,Government,16.7,Government,Own,0.0,2,0,0.0,0.0,4098.51,6908.08,1184.11,Yes,3873.66,553,578072.02,82757.42,E-commerce Shopping EMI,79194.71,17,High_Risk,13246.34
CUST325007,55,Male,Married,Post Graduate,28776.36,Self-employed,5.9,Not Applicable,Own,0.0,5,4,0.0,0.0,1084.57,17861.14,663.49,No,0.0,545,107771.49,45561.98,E-commerce Shopping EMI,38505.48,10,Not_Eligible,4187.5
CUST354239,43,Male,Single,High School,70708.6,Government,5.5,Government,Own,0.0,2,0,0.0,0.0,3798.81,8002.05,5369.67,Yes,14115.71,560,369683.13,193935.84,Education EMI,222984.4,20,High_Risk,29000.6
CUST477925,37,Male,Married,Graduate,28699.66,Self-employed,1.4,Not Applicable,Rented,9965.58,5,3,5284.54,0.0,990.74,9908.12,1971.32,No,0.0,589,47182.2,25094.77,E-commerce Shopping EMI,41844.17,9,Eligible,500.0
CUST343551,39,Male,Single,Post Graduate,58529.73,Private,8.0,Startup,Own,0.0,2,0,0.0,0.0,2030.51,5845.19,2201.59,No,0.0,616,400510.65,174466.56,E-commerce Shopping EMI,37350.97,6,Eligible,30041.77
